key,collections_count,namespaces_count,collections,namespaces
"sessionTimestamp","1","1","app.at-transfer.signaloffer","app.at-transfer.signaloffer"
"annotationFields","1","1","app.annos.annotationTemplate","app.annos.annotationTemplate"
"definition","1","1","app.annos.annotationField","app.annos.annotationField"
"fromTemplates","1","1","app.annos.annotation","app.annos.annotation"
"option","1","1","app.annos.annotation","app.annos.annotation"
"pds","1","1","ai.syui.game","ai.syui.game"
"player","1","1","ai.syui.game","ai.syui.game"
"plc","1","1","ai.syui.game","ai.syui.game"
"chinese","1","1","ai.syui.game","ai.syui.game"
"coin","1","1","ai.syui.game","ai.syui.game"
"weapon","1","1","ai.syui.game","ai.syui.game"
"login","1","1","ai.syui.game","ai.syui.game"
"ten","1","1","ai.syui.game","ai.syui.game"
"critical","1","1","ai.syui.game","ai.syui.game"
"critical_d","1","1","ai.syui.game","ai.syui.game"
"exp","1","1","ai.syui.game","ai.syui.game"
"hp","1","1","ai.syui.game","ai.syui.game"
"lv","1","1","ai.syui.game","ai.syui.game"
"rare","1","1","ai.syui.game","ai.syui.game"
"cp","2","2","ai.syui.game;ai.card.box","ai.syui.game;ai.card.box"
"generationMetadata","2","2","ai.numinex.v2.data.post;ai.numinex.post","ai.numinex.v2;ai.numinex.post"
"contextVersion","2","2","ai.numinex.v2.data.post;ai.numinex.post","ai.numinex.v2;ai.numinex.post"
"generationIndex","1","1","ai.numinex.v2.data.post","ai.numinex.v2"
"inferenceTimeMs","2","2","ai.numinex.v2.data.post;ai.numinex.post","ai.numinex.v2;ai.numinex.post"
